name;image;category;Country;role;description
Benedicte Mundele;https://c.files.bbci.co.uk/E315/production/_109133185_benedicte_mundele_300.jpg;knowledge;Congo (the Democratic Republic of the);Fresh food entrepreneur;When Benedicte looked around the Democratic Republic of Congo, she could see plenty of raw produce from potato to passionfruit, but still people were living in food poverty.
Maria Fernanda Espinosa;https://c.files.bbci.co.uk/DB31/production/_109131165_maria_espinosa_300.jpg;leadership;Ecuador;UN General Assembly;When Maria Fernanda Espinosa became president of the UN General Assembly, she became only the fourth woman to hold the position in the body's history - and the first from Latin America and the Caribbean.
Rana El Kaliouby;https://c.files.bbci.co.uk/7606/production/_109141203_rana_el_kaliouby_300.jpg;knowledge;Egypt;AI pioneer;Rana el Kaliouby is a pioneer of artificial emotional intelligence, or Emotion AI. Her start-up Affectiva has developed software that can understand emotions by analysing facial expressions through a camera.
Farida Osman;https://c.files.bbci.co.uk/13956/production/_109141208_farida_osman_300.jpg;sport;Egypt;Swimmer;Nicknamed 'the golden fish', in 2017 Farida became the first woman in Egypt to win a medal when she claimed bronze in the 50m butterfly at the FINA World Aquatics Championships.
Sara Wesslin;https://c.files.bbci.co.uk/17695/production/_109139859_sara_wesslin_300.jpg;identity;Finland;Journalist;Sara Wesslin is a Skolt Sami journalist. The Sami are the only indigenous people in the EU.
Fiona Kolbinger;https://c.files.bbci.co.uk/A2FB/production/_109132714_fiona_kolbinger_300.jpg;sport;Germany;Cyclist;In 2019, cancer researcher Fiona Kolbinger became the first woman ever to win the Transcontinental Race - one of the world's toughest cycling races.
Owl Fisher;https://c.files.bbci.co.uk/12951/production/_109131167_owl_fisher_300.jpg;identity;Iceland;Transgender activist ;Owl - aka Ugla Stefanía Kristjönudóttir Jónsdóttir - is a journalist, writer and trans campaigner. They are the co-director of My Genderation, a film project focusing on trans lives and trans experiences.
Parveena Ahanger;https://c.files.bbci.co.uk/31F8/production/_109129721_parveena_ahangar_300.jpg;identity;India;Human rights activist;"Parveena is known as the ""Iron lady of Kashmir"". Her teenage son disappeared in 1990, at the height of an uprising against Indian rule in Kashmir. "
Aranya Johar;https://c.files.bbci.co.uk/2DCB/production/_109132711_aranya_johar_300.jpg;creativity;India;Poet;Aranya uses beat poetry to address issues like gender equality, mental health and body positivity.
Susmita Mohanty;https://c.files.bbci.co.uk/BC05/production/_109133184_sushmita_mohanty_300.jpg;knowledge;India;Space entrepreneur;Hailed as 'India's space woman', spaceship designer Susmita founded India's first space start-up.
Subhalakshmi Nandi;https://c.files.bbci.co.uk/10A25/production/_109133186_subhalakshmi_nandi_300.jpg;identity;India;Gender equality expert;Based at the International Center for Research on Women, Subhalakshmi has spent over 15 years working to improve gender equality in Asia.
Natasha Noel;https://c.files.bbci.co.uk/DD6C/production/_109148665_natasha_noel_300.jpg;identity;India;Yoga expert;Natasha is a yogini, a female master practitioner of yoga and wellness coach.
Vandana Shiva;https://c.files.bbci.co.uk/17889/production/_109139369_vandana_shiva_300.jpg;earth;India;Environmentalist ;In the 1970s, she was part of a movement of women who threw their arms around trees to prevent them being felled - the original 'tree-huggers'.
Pragati Singh;https://c.files.bbci.co.uk/1CE1/production/_109139370_pragati_singh_300.jpg;identity;India;Doctor;When qualified doctor Pragati Singh started researching asexuality, she received messages from women who didn't want to have sex but were facing an arranged marriage.
Swietenia Puspa Lestari;https://c.files.bbci.co.uk/901D/production/_109139863_swietenia_300.jpg;earth;Indonesia;Diver/environmentalist;Swietenia founded the Divers Clean Action Foundation to clear marine debris in Indonesia. They now have 1,500 volunteers working across the island nation and South East Asia.
Kimia Alizadeh;https://c.files.bbci.co.uk/175C4/production/_109148659_kimia_alizadeh_300.jpg;sport;Iran (Islamic Republic of);Athlete;"In 2016, Kimia became the first Iranian woman to win a medal at the Olympics since the country began competing in 1948. As a taekwondo athlete, Kimia is credited with ""emboldening Iranian girls and women to push the boundaries of personal freedom"" by the UK's Financial Times newspaper."
Raya Bidshahri;https://c.files.bbci.co.uk/14368/production/_109129728_raya_bidshahri_300.jpg;knowledge;Iran (Islamic Republic of);Educator;Raya is founder and CEO of the award-winning Awecademy, an organisation with a mission to use education to improve the world.
Sinéad Burke;https://c.files.bbci.co.uk/683C/production/_109148662_sinead_burke_300.jpg;identity;Ireland;Disability activist;After recounting not being able to reach the locks on toilet doors in a candid speech in 2017, Sinéad Burke quickly became one of the world's most influential disability activists. Calling for all design to be more accessible, she has challenged some of the biggest names in the fashion industry - including Anna Wintour - to make clothing more inclusive.
Danit Peleg;https://c.files.bbci.co.uk/0E31/production/_109133630_danit_peleg_300.jpg;creativity;Israel;Designer;Fashion designer Danit once found herself at a conference with nothing to wear, so quickly designed a skirt on her laptop and 3D-printed it.
Piera Aiello;https://c.files.bbci.co.uk/C066/production/_109145294_piera_aiello_300.jpg;identity;Italy;Politician;"Known as Italy's ""ghost"" politician, Piera Aiello ran for office with her face covered by a veil due to threats from the mafia. In 2018, after winning her seat as an anti-mafia candidate, she finally revealed her face to the public."
Shelly-Ann Fraser-Pryce;https://c.files.bbci.co.uk/12B8C/production/_109148667_shelly_ann_fraser_pryce_300.jpg;sport;Jamaica;Athlete;After storming to victory in 10.71 seconds at the women's 100m final in Doha in September 2019, Shelly-Ann Fraser-Pryce now boasts more 100m world championship titles than Usain Bolt.
Yumi Ishikawa;https://c.files.bbci.co.uk/DE3D/production/_109139865_yumi_ishikawa_300.jpg;identity;Japan;Founder #kutoo ;Tired of the pain she suffered wearing heels eight hours a day at work, Yumi decided to vent her frustration on Twitter.
Hiyori Kon;https://c.files.bbci.co.uk/CA0B/production/_109132715_hiyori_kon_300.jpg;sport;Japan;Sumo wrestler;Hiyori Kon, 21, is a sumo wrestling prodigy in a country where women are still barred from competing professionally. 
Nanjira Sambuli;https://c.files.bbci.co.uk/F891/production/_109133636_nanjira_sambuli_300.jpg;identity;Kenya;Digital equality expert;Nanjira leads the World Wide Web Foundation in its bid to increase digital equality.
Soo Jung Lee;https://c.files.bbci.co.uk/1054D/production/_109139866_soo_jung_lee_300.jpg;leadership;South Korea;Forensic psychologist;Forensic psychology professor Soo Jung Lee has worked on numerous high-profile murder cases in South Korea. Based at Kyonggi University in Seoul, she has challenged the legal system, helping introduce an anti-stalking bill.
Alanoud Alsharekh;https://c.files.bbci.co.uk/5908/production/_109129722_alanoud_alsharekh.jpg;leadership;Kuwait;Women's rights activist;"Dr Alanoud Alsharekh is a founding member of the Abolish 153 campaign, calling for Kuwait's ""honour-killing"" law to be scrapped."
Dayna Ash;https://c.files.bbci.co.uk/27E6/production/_109141201_dayna_ash_300.jpg;creativity;Lebanon;Cultural activist;Born in Lebanon but raised in the US, poet Dayna Ash was shocked when she was advised to hide her sexuality on her return to Beirut at 16.
Ayah Bdeir;https://c.files.bbci.co.uk/F548/production/_109129726_aya_bdeir_300.jpg;creativity;Lebanon;Entrepreneur;"Branded as 21st Century building blocks, Ayah Bdeir's littleBits company makes kits of electronic blocks that snap together with magnets, allowing anyone to ""build, prototype, and invent""."
Najat Saliba;https://c.files.bbci.co.uk/15CA6/production/_109145298_najat_saliba_300.jpg;earth;Lebanon;Chemistry professor;Professor Saliba is conducting world-leading research on polluted air. She grew up on her family's farm in rural Lebanon, but when civil war prompted a move to the city, she was awakened to the disturbing realities of air pollution.
Rida Al Tubuly;https://c.files.bbci.co.uk/00D6/production/_109141200_rida_altubuly_300.jpg;identity;Libya;Peace campaigner;Rida Al Tubuly is one of many women pushing for gender equality - but she's doing it from a warzone. Her organisation, Together We Build It, pushes for women's involvement in solving Libya's conflict.
Nisha Ayub;https://c.files.bbci.co.uk/A728/production/_109129724_nisha_ayub_300.jpg;identity;Malaysia;Transgender activist;"At 21, trans woman Nisha Ayub was sentenced to three months in a male prison under a provision of Sharia law which prohibits ""a male person wearing women's attire or posing as a woman in a public space.” "
Aïssata Lam;https://c.files.bbci.co.uk/F11B/production/_109132716_aissata_lam_300.jpg;leadership;Mauritania;Microfinance expert;Aïssata Lam set up the Youth Chamber of Commerce of Mauritania to support young women entrepreneurs struggling to access funding for their start-ups.
Yalitza Aparicio;https://c.files.bbci.co.uk/B72D/production/_109139864_yalitza_aparicio_300.jpg;creativity;Mexico;Actress/Human rights activist;Yalitza Aparicio trained as a primary school teacher, but ended up being cast as the lead in Alfonso Cuarón's Oscar-winning film Roma after accompanying her sister to the audition.
Paola Villarreal;https://c.files.bbci.co.uk/B921/production/_109139374_paola_villarreal_300.jpg;knowledge;Mexico;Computer programmer;Self-taught computer programmer Paola helped reverse 20,000 racially-biased drugs convictions by developing Data for Justice, a tool with an interactive map comparing police activity in white and minority neighborhoods.
Bonita Sharma;https://c.files.bbci.co.uk/146B1/production/_109133638_bonita_sharma_300.jpg;knowledge;Nepal;Innovator;Inspired by her mum's determination to obtain a degree despite pressure to become a housewife, Bonita Sharma helps educate and empower women and girls in her native Nepal.
Lisa Mandemaker;https://c.files.bbci.co.uk/1FC5/production/_109133180_lisa_mandemaker_300.jpg;creativity;Netherlands (the);Speculative designer;Lisa Mandemaker is leading the team building a prototype artificial womb, in collaboration with the Máxima Medical Centre in Holland.
Marilyn Waring;https://c.files.bbci.co.uk/12E51/production/_109139377_marilyn_waring_300.jpg;earth;New Zealand;Economist/environmentalist;Best-known for becoming New Zealand's youngest member of parliament in 1975 aged 23, Marilyn Waring is a pioneer of feminist economics, and author of the groundbreaking Counting for Nothing, which highlighted the value of womens' unpaid work.
Salwa Eid Naser;https://c.files.bbci.co.uk/8F4C/production/_109148663_salwa_eid_nasser_300.jpg;sport;Nigeria;Athlete;Salwa Eid Naser stunned the field in the 400m final in Doha this year by running faster than any woman has done for more than three decades.
Jalila Haider;https://c.files.bbci.co.uk/15061/production/_109131168_jalila_haider_300.jpg;leadership;Pakistan;Lawyer;Human rights lawyer Jalila specialises in defending women's rights in Pakistan, and provides free legal services to women in poverty. 
Maria Ressa;https://c.files.bbci.co.uk/098A/production/_109224420_maria_ressa_300.jpg;leadership;Philippines (the);Journalist;Maria Ressa is an award-winning journalist from the Philippines who set up website Rappler to expose fake news. 
Lyubov Sobol;https://c.files.bbci.co.uk/43F1/production/_109139371_lyubov_sobol_300.jpg;leadership;Russian Federation (the);Anti-corruption activist;Lawyer Lyubov Sobol investigates alleged corruption in Russia, documenting her work through social media and a YouTube channel with over a million subscribers.
Manal AlDowayan;https://c.files.bbci.co.uk/1832A/production/_109141199_manal_aldowayan_300.jpg;creativity;Saudi Arabia;Artist;Contemporary artist Manal AlDowayan's work explores invisibility, archives, memory and the representation of women in her country. From black and white photographs of Saudi Arabia's female workforce, to a frozen flock of birds imprinted with the permission slip Saudi women require to travel. 
Kalista Sy;https://c.files.bbci.co.uk/6B01/production/_109139372_kalista_sy_300.jpg;creativity;Senegal;Screenwriter/producer;Self-taught screenwriter Kalista Sy's TV series Mistress of a Married Man sent shock waves through her home country when it was released earlier this year.
Asmaa James;https://c.files.bbci.co.uk/06BB/production/_109132710_asmaa_james_300.jpg;leadership;Sierra Leone;Journalist/activist;Through a career in journalism and community social work, Asmaa has become the voice of Sierra Leone's voiceless. 
Sister Gerard Fernandez;https://c.files.bbci.co.uk/10241/production/_109131166_sister_gerard_fernandez_300.jpg;leadership;Singapore;Roman Catholic nun;Sister Gerard is a Roman Catholic nun in Singapore, who worked for three decades as a death row counsellor.
Jawahir Roble;https://c.files.bbci.co.uk/D181/production/_109133635_jj_roble_300.jpg;sport;Somalia;Referee;Jawahir Roble is the UK's first Muslim, black, female, hijab-wearing referee.
Lucinda Evans;https://c.files.bbci.co.uk/B421/production/_109131164_lucinda_evans_300.jpg;identity;South Africa;Women's rights activist ;As South Africa faces rising rates of murder and rape against women and girls, Lucinda has emerged as a voice for women. She leads nationwide marches, rallying thousands of women in the streets of Cape Town, challenging government to translate policy into action.
Ashcharya Peiris;https://c.files.bbci.co.uk/169D9/production/_109133629_ashcharya_300.jpg;creativity;Sri Lanka;Designer;Ashcharya Peiris was on her way home from work at a bank in Sri Lanka when a bomb blast left her blind in 2000. She lost her job to her disability, but ended up fulfilling her dream of becoming a fashion designer by describing her designs to a seamstress.
Gada Kadoda;https://c.files.bbci.co.uk/C426/production/_109141205_gada_kadoda_300.jpg;earth;Sudan (the);Engineer;Dr Gada Kadoda helps women in remote areas use solar power to bring electricity to their villages by training them as community engineers.
Ahlam Khudr;https://c.files.bbci.co.uk/10E86/production/_109145296_ahlam_khudr_300.jpg;leadership;Sudan (the);Protest leader;Self-proclaimed 'mother of all Sudanese martyrs', Ahlam's 17-year-old son was killed in a peaceful protest in 2013. Since then, Ahlam has dedicated her life to seeking justice for him, and fighting for the rights of those killed or 'disappeared' in Sudan. 
Erika Lust;https://c.files.bbci.co.uk/13F3B/production/_109132718_erika_lust_300.jpg;creativity;Sweden;Filmmaker;An award-winning independent adult filmmaker exploring how women can help shape the future of porn.
Greta Thunberg;https://c.files.bbci.co.uk/E776/production/_109145295_greta_thunberg_300.jpg;earth;Sweden;Climate change activist;In August 2018, 15-year-old Greta Thurnberg skipped school to protest outside the Swedish parliament. What started as a one-person strike has since spread to a worldwide protest over climate change. Her actions have mobilised activists across the world, with millions of young people taking part in Fridays for Future.
Marwa Al-Sabouni;https://c.files.bbci.co.uk/0AE8/production/_109129720_marwa_al_sabouni_300.jpg;creativity;Syrian Arab Republic;Architect;When war broke out in architect Marwa Al-Sabouni's home city of Homs, Syria, she refused to leave.
Noor Shaker;https://c.files.bbci.co.uk/2426/production/_109145290_noor_shaker_300.jpg;knowledge;Syrian Arab Republic;Computer scientist;Computer scientist Noor Shaker left Syria for Europe in 2008 to follow her passion for Artificial Intelligence. After a successful decade in academia, she turned her skills toward entrepreneurial innovation. Motivated by her mother's fight against cancer, Shaker was compelled to bring her knowledge of AI to the medical world. 
Julie Makani;https://c.files.bbci.co.uk/17B6D/production/_109133179_julie_makani_300.jpg;knowledge;Tanzania, United Republic of;Doctor/scientist;Julie is from Tanzania, one of five countries in the world with the highest estimated number Sickle Cell Disease (SCD) births annually. She has dedicated the past two decades to research on treatment for the disease and working to influence health policies so that individuals across Africa can access vital diagnostic tests and medicines. 
Dhammananda Bhikkhuni;https://c.files.bbci.co.uk/1A1C/production/_109148660_dhammananda_bhikkhuni_300.jpg;leadership;Thailand;Monk;Buddhism is Thailand's most common religion, with some 300,000 Buddhist monks. But female monks - known as bhikkhunis - aren't recognised, and are banned from being ordained on Thai soil.
Hayfa Sdiri;https://c.files.bbci.co.uk/11FA1/production/_109133637_hayfa_sdiri_300.jpg;knowledge;Tunisia;Entrepreneur;At 16, Hayfa founded not-for-profit Entrcrush, an online platform for future entrepreneurs where they could be matched with donors, and take e-courses in areas like management and accounting.
Zehra Sayers;https://c.files.bbci.co.uk/17FCE/production/_109145289_zehra_sayers_300.jpg;knowledge;Turkey;Scientist;Biophysicist Zehra Sayers has been hailed as a beacon of hope for the Middle East (Nature journal) for her success in her contribution to bringing scientists from eight Middle Eastern countries together.
Judith Bakirya;https://c.files.bbci.co.uk/CE38/production/_109129725_judith_bakirya_300.jpg;earth;Uganda;Farmer;Raised on a farm in Uganda, Judith Bakirya became the first of her peers to win a scholarship to a prestigious girls' boarding school, going on to obtain a masters in the UK and a job in the City.
Purity Wako;https://c.files.bbci.co.uk/10741/production/_109139376_purity_wako_300.jpg;identity;Uganda;Life coach;Purity is a modern day 'senga'. The role traditionally sees aunt-figures training brides-to-be in how to sexually satisfy their husbands.
Dina Asher-Smith;https://c.files.bbci.co.uk/1047C/production/_109148666_dina_asher_smith_300.jpg;sport;United Kingdom;Athlete;Dina is the fastest woman in British history and the first British woman to win a major global sprint title.
Scarlett Curtis;https://c.files.bbci.co.uk/3EF1/production/_109131161_scarlett_curtis_300.jpg;creativity;United Kingdom;Writer/Campaigner;Scarlett is co-founder of The Pink Protest, an online community of activists who supported the successful #FreePeriods campaign to get free menstrual products in schools in England.
Ella Daish;https://c.files.bbci.co.uk/6601/production/_109131162_ella_daish_300.jpg;earth;United Kingdom;Environmentalist;Delivering post in rural Wales, Ella was shocked by the amount of discarded plastic on the streets.
Sharan Dhaliwal;https://c.files.bbci.co.uk/8D11/production/_109131163_sharan_dhaliwal_300.jpg;identity;United Kingdom;Artist and writer;British-Indian Sharan is founder and editor-in-chief of Burnt Roti magazine, focusing on mental and sexual health for young South Asians, and LGBTQ rights. Aided by crowdfunding, she published her first print issue in April 2016 and has since launched an online version.
Bethany Firth;https://c.files.bbci.co.uk/13596/production/_109145297_bethany_firth_300.jpg;sport;United Kingdom;Paralympic swimmer;Overcoming a fear of water after falling into an adult pool as a toddler, Bethany Firth burst onto the swimming scene at the London 2012 Paralympics. Bethany, who has learning disabilities, is now a four-time Paralympic gold medallist and multiple world record holder, and was Britain's most decorated athlete at the Rio 2016 Paralympics.
Lauren Mahon;https://c.files.bbci.co.uk/B65C/production/_109148664_lauren_mahon_300.jpg;creativity;United Kingdom;Cancer survivor;"Nominated for BBC 100 Women list by Jameela Jamil and the I Weigh community, Lauren Mahon is one third of the powerhouse trio ""kicking cancer's arse"" on BBC 5 Live's podcast You, Me & The Big C."
Gina Martin;https://c.files.bbci.co.uk/6DE5/production/_109133182_gina_martin_300.jpg;leadership;United Kingdom;Campaigner;After being upskirted at a music festival, Gina Martin launched a campaign to make upskirting illegal in England and Wales. The law was changed this year after an 18-month legal fight.
Sarah Martins Da Silva;https://c.files.bbci.co.uk/94F5/production/_109133183_sarah_martins_da_silva_300.jpg;knowledge;United Kingdom;Consultant gynaecologist/obstetrician;Sarah is one of Scotland's leading gynaecologists.
Onjali Rauf;https://c.files.bbci.co.uk/1612E/production/_109141409_onjali_rauf_300.jpg;leadership;United Kingdom;Writer;Onjali Rauf was recovering from life-saving surgery when the idea for her first book came to her.
Precious Adams;https://c.files.bbci.co.uk/16690/production/_109129719_precious_adams_300.jpg;creativity;United States;Ballet dancer;Precious Adams spent so much time dancing round the living room as a child, that her mum signed her up for dance lessons. She trained at several top ballet schools, including the National Ballet School of Canada, the Princess Grace Academy in Monaco and the Bolshoi Ballet Academy in Moscow.
MiMi Aung;https://c.files.bbci.co.uk/8018/production/_109129723_mimi_aung_300.jpg;knowledge;United States;Project manager NASA;NASA's MiMi Aung is responsible for a team designing a helicopter to fly on Mars. After travelling alone from Myanmar to the US to further her education at 16, MiMi is now project manager at the NASA Jet Propulsion Laboratory (JPL), California Institute of Technology.
Katie Bouman;https://c.files.bbci.co.uk/17389/production/_109131159_katie_bouman_300.jpg;knowledge;United States;Scientist;Katie was a key leader on the team that developed algorithms and techniques to recover the first-ever image of a black hole.
Lisa Campo-Engelstein;https://c.files.bbci.co.uk/17E1/production/_109131160_lisa_campo_engelstein_300.jpg;knowledge;United States;Bioethicist;Author of Contraceptive Justice: Why We Need a Male Pill, bioethicist Lisa Campo-Engelstein's work aims to improve women's lives through finding new methods of contraception.
Hollie ;https://c.files.bbci.co.uk/11AFA/production/_109224427_hollie_300.jpg;identity;United States;Sex trafficking survivor;Hollie is a survivor of sex trafficking from Columbus, Ohio, US. She was first sold by her mother at the age of 15 and was enslaved through drug-use for 17 years. With the help of an innovative court programme called CATCH Court - which spots criminals who are actually victims - she was able to escape in 2015. Most women who are sex trafficked in the US are branded with tattoos or scars and she has since transformed the tattoos on her own body. 
Katrina Johnston-Zimmerman;https://c.files.bbci.co.uk/54DB/production/_109132712_katrina_johnston_zimmerman.jpg;earth;United States;Anthropologist;Katrina Johnston-Zimmerman is an urban anthropologist, working to make cities better places to live in.
Amy Karle;https://c.files.bbci.co.uk/7BEB/production/_109132713_amy_karle_300.jpg;knowledge;United States;Bioartist;Born with a rare condition which left her with missing skin, Amy Karle grew up fascinated by the possibility of what the human body could be capable of with the right technology.
Fei-Fei Li;https://c.files.bbci.co.uk/1182B/production/_109132717_fei_fei_300.jpg;knowledge;United States;AI pioneer;Fei-Fei Li arrived in the US from China at 16 with no English language skills, working part-time in her parents' dry-cleaning business.
Jamie Margolin;https://c.files.bbci.co.uk/46D5/production/_109133181_jamie_margolin_300.jpg;earth;United States;Climate change activist;At 16, Jamie co-founded the Zero Hour movement, using social media to organise the first youth climate change marches in 25 cities, including Washington DC.
Alexandria Ocasio-Cortez;https://c.files.bbci.co.uk/A5CA/production/_109224424_alexandria_ocasio_cortez_30.jpg;leadership;United States;Congresswoman;This year, aged 29, Alexandria Ocasio-Cortez became the youngest woman ever to serve in the United States Congress. She grew up in the Bronx and volunteered as a campaigner in the 2016 Presidential elections.
Megan Rapinoe;https://c.files.bbci.co.uk/5C51/production/_109133632_megan_rapinoe_300.jpg;sport;United States;Footballer;Megan Rapinoe is a two-time World Cup winner and co-captain of the US Women's National Team. She led the team to victory in the 2019 Women's World Cup, scoring some of the biggest goals of the tournament.
Bella Thorne;https://c.files.bbci.co.uk/14F9B/production/_109251958_bella_thorne_getty_300.jpg;identity;United States;Actress/director;This summer, 22-year-old actress and director Bella Thorne released her own topless photos after a hacker threatened to leak them, saying, “It's my decision now, you don't get to take another thing from me.”
Amy Webb;https://c.files.bbci.co.uk/15561/production/_109139378_amy_webb_300.jpg;knowledge;United States;Futurist;Amy Webb is a futurist who advises government leaders and the CEOs of some of the world's largest companies on how to prepare for complex futures.
Gina Zurlo;https://c.files.bbci.co.uk/1AED/production/_109139860_gina_zurlo_300.jpg;identity;United States;Scholar of religion;Having studied everything from megachurch social media use to whether women are more religious than men, Gina Zurlo is an expert in religion statistics.
Ida Vitale;https://c.files.bbci.co.uk/12C5D/production/_109139867_ida_vitale_300.jpg;creativity;Uruguay;Poet;At 95, poet Ida Vitale is winner of the Cervantes Prize, the most prestigious literary award in the Spanish-speaking world.
Luchita Hurtado;https://c.files.bbci.co.uk/16263/production/_109132709_luchita_hurtado_300.jpg;creativity;Venezuela (Bolivarian Republic of);Artist;This year, artist Luchita Hurtado landed her first solo show in a public gallery - at the age of 98.
Trang Nguyen;https://c.files.bbci.co.uk/11246/production/_109141207_trang_tk_300.jpg;earth;Viet Nam;Conservationist;Trang Nguyen grew up in Vietnam, confronted from a young age with monkeys chained up for sale on the streets and bears held to extract bile for traditional medicine. So she obtained a PhD in Biodiversity Management, and set up WildAct, a non-profit organisation which helps authorities monitor illegal wildlife trade markets.
Van Thi Nguyen;https://c.files.bbci.co.uk/13135/production/_109133187_nguyen_thi_van_300.jpg;leadership;Viet Nam;CEO;Van is co-founder of the Will to Live Center, which provides training for disabled people in Vietnam's capital, Hanoi.
Samah Subay;https://c.files.bbci.co.uk/4B36/production/_109145291_samah_subay_300.jpg;leadership;Yemen;Lawyer;Samah is a lawyer who has worked tirelessly in difficult circumstances since the war in Yemen started in 2015. She provides legal support to families whose children have 'disappeared'. 
